district,furnished,ac,kitchen,age,street_width,area,wc,livings,beds,price,year,month,total_rooms
حي السامر,0,0,1,10,21,95,2,2,3,24000,2023,3,7
حي الصالحية,0,0,1,2,16,240,2,1,4,24000,2023,3,7
أخرى,1,0,1,8,22,119,2,1,3,24000,2023,3,6
حي الفروسية,0,0,1,0,50,400,2,1,3,24000,2023,3,6
حي النسيم,0,0,1,10,20,100,2,1,3,24000,2023,3,6
حي الفروسية,0,0,1,1,52,230,2,1,3,24000,2023,3,6
حي الفضيلة,0,0,0,0,5,120,2,1,3,24000,2023,3,6
حي الاصالة,0,0,1,11,5,160,2,1,3,24000,2023,3,6
حي الصوارى,0,0,1,0,52,120,2,1,3,24000,2023,3,6
حي طيبة,0,0,1,0,5,220,2,1,1,24000,2023,3,4
حي المنتزه,0,0,1,5,26,180,2,1,3,24000,2023,3,6
حي البوادي,0,0,1,14,5,90,1,1,2,24000,2023,3,4
حي المنار,0,0,0,10,40,94,2,1,3,24000,2023,3,6
حي السامر,0,0,0,15,40,95,2,1,3,24000,2023,3,6
حي اللؤلؤ,0,0,1,5,32,180,3,1,4,24000,2023,3,8
حي ابحر الشمالية,0,0,1,0,16,117,2,0,2,24000,2023,3,4
حي الفلاح,0,0,1,6,15,200,3,1,3,24000,2023,3,7
حي اللؤلؤ,0,0,1,2,20,130,3,1,4,24000,2023,3,8
حي الزهراء,0,0,1,16,18,70,1,1,2,24000,2023,3,4
حي الصفا,0,0,1,2,15,90,1,1,2,24000,2023,3,4
حي الحمدانية,0,0,1,6,16,200,3,1,4,24000,2023,3,8
حي الروضة,0,0,1,15,15,80,1,1,2,24000,2023,3,4
حي الصوارى,0,0,1,4,15,170,2,1,3,24000,2023,3,6
حي الفروسية,0,0,0,0,16,400,3,1,3,24000,2023,3,7
حي طيبة,0,0,1,3,20,95,3,1,4,24000,2023,3,8
حي النهضة,0,0,1,30,15,75,2,1,2,24000,2023,3,5
حي الصفا,0,0,0,0,17,120,2,0,3,24000,2023,3,5
حي البوادي,0,0,1,15,5,120,2,1,4,24000,2023,3,7
حي الرياض,0,0,1,5,16,102,3,1,4,24000,2023,3,8
حي الصفا,0,1,1,15,12,90,2,1,2,24000,2023,3,5
حي الاجاويد,0,0,0,4,50,160,2,1,3,24000,2023,3,6
حي الفضيلة,0,0,1,0,5,320,2,1,3,24000,2023,3,6
أخرى,0,0,1,20,14,110,2,1,3,24000,2023,3,6
حي الاصالة,0,0,1,7,50,120,2,0,4,24000,2023,3,6
حي السامر,0,0,1,14,14,130,1,1,3,24000,2023,3,5
حي الريان,0,0,1,9,5,125,2,1,3,24000,2023,3,6
حي الصفا,0,0,1,9,15,130,2,1,3,24000,2023,3,6
حي مريخ,0,0,1,1,5,250,3,1,4,24000,2023,3,8
حي الصفا,0,0,1,15,30,110,1,1,2,24000,2023,3,4
حي الصفا,0,0,1,22,31,120,2,2,3,24000,2023,3,7
حي المروة,0,0,1,15,15,160,2,0,3,24000,2023,3,5
حي الزمرد,0,1,1,0,20,150,2,1,3,24000,2023,3,6
حي الاجاويد,0,0,1,7,15,120,2,1,3,24000,2023,3,6
حي الحمدانية,0,0,1,2,20,120,2,1,2,24000,2023,3,5
حي الحمدانية,0,0,1,9,5,120,2,1,3,25000,2023,3,6
حي النهضة,0,0,1,10,15,75,2,1,2,25000,2023,3,5
حي الياقوت,0,0,1,6,16,168,3,0,4,25000,2023,3,7
حي الصفا,0,0,1,35,9,170,2,1,4,25000,2023,3,7
حي الحمدانية,0,0,1,4,20,120,2,1,3,25000,2023,3,6
حي الفلاح,0,0,1,5,20,220,3,1,4,25000,2023,3,8
حي الكوثر,0,0,1,4,16,170,2,1,4,25000,2023,3,7
حي الزمرد,0,0,0,0,17,230,4,1,5,25000,2023,3,10
حي الحمدانية,0,0,1,5,50,210,2,1,4,25000,2023,3,7
حي المنار,0,0,1,4,6,100,2,1,4,25000,2023,3,7
حي الصالحية,0,0,1,0,5,180,3,1,3,25000,2023,3,7
حي الاجاويد,0,0,1,0,20,220,3,1,3,25000,2023,3,7
حي ابرق الرغامة,0,0,1,4,5,180,2,1,3,25000,2023,3,6
حي النعيم,0,1,1,36,15,150,2,1,3,25000,2023,3,6
حي الرياض,0,1,1,4,25,120,3,1,4,25000,2023,3,8
حي النسيم,0,0,1,15,5,64,1,1,2,25000,2023,3,4
حي الفضيلة,0,0,1,3,21,22,2,1,2,25000,2023,3,5
حي مريخ,0,0,1,5,15,120,2,1,4,25000,2023,3,7
حي الرياض,0,0,0,0,16,200,3,1,4,25000,2023,3,8
حي الحمدانية,0,1,1,6,52,160,2,1,3,25000,2023,3,6
حي الرياض,0,0,0,0,50,200,3,1,4,25000,2023,3,8
حي طيبة,0,0,1,7,15,104,2,1,3,25000,2023,3,6
حي البوادي,0,0,1,12,20,100,2,1,3,25000,2023,3,6
حي الرياض,0,0,1,3,25,216,3,1,5,25000,2023,3,9
حي الريان,0,0,1,4,19,150,2,1,4,25000,2023,3,7
حي الصوارى,0,0,1,0,16,210,2,0,3,25000,2023,3,5
حي الحمدانية,0,0,1,5,16,180,3,1,4,25000,2023,3,8
حي الحمدانية,0,1,1,7,5,140,2,1,3,25000,2023,3,6
حي الحمدانية,0,0,1,0,5,200,2,1,4,25000,2023,3,7
حي الياقوت,0,0,1,1,35,350,3,1,2,25000,2023,3,6
حي الفلاح,0,0,1,0,5,250,3,1,3,25000,2023,3,7
حي الصفا,0,0,1,10,5,80,2,0,3,25000,2023,3,5
حي الربوة,0,0,1,16,16,140,1,1,3,25000,2023,3,5
حي الشراع,0,0,1,0,16,130,2,1,2,25000,2023,3,5
حي المنتزه,0,0,1,2,5,90,2,1,3,25000,2023,3,6
حي الشراع,0,0,1,3,16,140,2,1,3,25000,2023,3,6
حي الياقوت,0,0,1,4,16,180,2,1,3,25000,2023,3,6
حي الريان,0,0,1,4,5,180,3,1,5,25000,2023,3,9
حي الريان,0,0,1,6,15,73,2,0,2,25000,2023,3,4
حي الرويس,0,0,0,36,5,95,2,0,4,25000,2023,3,6
حي القرينة,0,0,1,0,1,144,2,1,3,25000,2023,3,6
حي الصفا,0,0,0,0,5,80,2,1,2,25000,2023,3,5
حي السلامة,0,0,1,5,20,105,1,1,2,25000,2023,3,4
حي السلامة,0,0,1,4,13,90,1,1,2,25000,2023,3,4
حي السلامة,0,0,1,4,12,140,1,1,2,25000,2023,3,4
حي الصالحية,0,0,0,6,16,144,3,1,3,25000,2023,3,7
حي النزهة,0,0,1,2,15,24,2,1,2,25000,2023,3,5
حي الروضة,0,0,1,7,16,80,2,0,3,25000,2023,3,5
حي النزهة,0,0,1,10,12,85,1,1,2,25000,2023,3,4
حي ام حبلين,0,0,1,6,5,100,2,1,4,25000,2023,3,7
حي السلامة,0,0,1,4,5,60,1,1,2,25000,2023,3,4
حي الفضيلة,0,0,1,0,5,120,2,1,4,25000,2023,3,7
حي الحمدانية,0,0,1,1,10,25,2,1,4,25000,2023,3,7
حي مشرفة,0,0,1,3,10,160,2,0,3,25000,2023,3,5
حي الصالحية,0,0,1,3,16,168,3,1,3,25200,2023,3,7
حي السنابل,0,0,1,0,5,200,2,1,4,26000,2023,3,7
حي الفلاح,0,0,1,6,5,320,3,1,4,26000,2023,3,8
حي الياقوت,0,0,1,0,15,197,3,1,4,26000,2023,3,8
حي الياقوت,0,0,1,0,25,150,2,1,4,26000,2023,3,7
حي الرياض,0,1,1,0,45,280,3,1,6,26000,2023,3,10
حي المروة,0,0,0,6,16,120,3,1,4,26000,2023,3,8
حي الصفا,0,0,0,0,15,120,2,1,3,26000,2023,3,6
حي الريان,0,0,0,0,16,150,2,1,3,26000,2023,3,6
حي مريخ,0,0,0,8,20,200,3,1,4,26000,2023,3,8
حي الشراع,1,1,1,1,16,120,2,1,2,26000,2023,3,5
حي الاجاويد,0,0,0,0,5,150,3,1,4,26000,2023,3,8
حي الزمرد,0,0,0,0,15,217,3,1,4,26000,2023,3,8
حي الفروسية,0,0,1,0,20,196,3,1,4,26000,2023,3,8
حي الواحة,0,0,0,1,15,100,3,0,4,26000,2023,3,7
حي طيبة,0,0,0,1,5,120,2,1,4,26000,2023,3,7
حي اللؤلؤ,0,0,1,4,5,150,3,1,4,26000,2023,3,8
حي المنار,0,0,0,8,15,100,3,1,3,26000,2023,3,7
حي الحمدانية,0,0,1,5,15,180,3,1,4,26000,2023,3,8
حي السلامة,0,0,1,7,12,160,2,1,3,26000,2023,3,6
حي الرياض,0,0,1,0,5,200,3,1,5,26000,2023,3,9
حي الريان,0,1,1,1,10,200,3,2,3,26000,2023,3,8
حي الواحة,0,0,1,13,20,135,2,1,3,26000,2023,3,6
حي الفلاح,0,0,1,8,5,199,3,1,5,26000,2023,3,9
حي السلامة,0,0,1,8,12,90,2,1,3,26000,2023,3,6
حي الربوة,0,0,1,2,5,100,2,1,2,26000,2023,3,5
حي الفلاح,0,0,0,3,15,110,2,1,4,26000,2023,3,7
حي الامير فواز الجنوبي,0,0,0,5,28,110,2,1,3,26000,2023,3,6
حي القرينة,0,0,1,5,15,120,3,1,4,26000,2023,3,8
حي الصالحية,0,1,1,0,16,140,2,3,4,26000,2023,3,9
حي الصالحية,0,0,1,3,16,200,3,1,5,26000,2023,3,9
حي المروة,0,1,1,6,15,110,3,1,4,26000,2023,3,8
حي المنار,0,0,1,6,24,150,3,1,4,26000,2023,3,8
حي الرياض,0,0,1,1,100,312,2,1,3,26000,2023,3,6
حي النسيم,0,0,1,3,15,120,2,0,3,26000,2023,3,5
حي الصالحية,0,0,0,0,16,130,3,1,3,26000,2023,3,7
حي المنار,0,0,1,8,25,117,4,1,4,26000,2023,3,9
حي طيبة,0,0,1,11,17,200,2,1,3,26000,2023,3,6
حي الاميرعبدالمجيد,0,0,1,5,1,190,3,1,4,26000,2023,3,8
حي الاميرعبدالمجيد,0,0,1,3,30,190,3,1,4,26000,2023,3,8
حي النزهة,0,0,0,19,15,160,2,1,4,26000,2023,3,7
حي السنابل,0,0,0,3,15,120,2,1,3,26000,2023,3,6
حي مدائن الفهد,0,0,1,13,20,140,2,1,4,26000,2023,3,7
حي المروة,0,0,1,12,5,150,2,1,4,26000,2023,3,7
حي الصفا,0,0,0,13,5,120,2,1,4,26000,2023,3,7
حي الفلاح,0,0,1,5,18,189,3,2,5,26000,2023,3,10
حي الصفا,0,0,1,3,5,140,2,1,3,26000,2023,3,6
حي المنتزه,0,0,1,16,5,150,3,1,4,26000,2023,3,8
حي الياقوت,0,0,0,3,5,180,3,1,4,26000,2023,3,8
حي طيبة,0,0,0,5,5,160,3,1,4,26000,2023,3,8
حي الاصالة,0,0,1,14,21,120,3,1,4,26000,2023,3,8
حي ابرق الرغامة,0,0,1,3,20,120,3,0,4,26000,2023,3,7
حي البوادي,0,0,1,10,15,90,2,1,3,26400,2023,3,6
حي المروة,0,0,0,5,25,180,2,1,3,27000,2023,3,6
حي الصفا,0,0,1,13,5,150,2,1,3,27000,2023,3,6
حي الفيصلية,0,0,1,13,20,130,2,1,3,27000,2023,3,6
حي المروة,0,0,0,0,30,100,2,1,3,27000,2023,3,6
حي المروة,0,0,0,12,15,130,3,1,5,27000,2023,3,9
حي الفروسية,0,0,0,0,5,250,3,1,5,27000,2023,3,9
حي الشراع,0,0,1,2,5,120,2,1,4,27000,2023,3,7
حي الاجاويد,0,0,1,5,15,250,3,1,4,27000,2023,3,8
حي الياقوت,0,0,1,0,25,120,2,1,2,27000,2023,3,5
حي الربوة,0,0,1,12,20,150,3,1,4,27000,2023,3,8
حي الصالحية,0,0,0,5,18,200,3,1,5,27000,2023,3,9
حي الكوثر,0,0,1,5,16,200,3,1,5,27000,2023,3,9
حي المنتزه,0,0,0,15,5,100,2,0,3,27000,2023,3,5
حي الريان,0,0,1,0,16,100,2,1,2,27000,2023,3,5
حي المروة,0,0,1,4,13,105,3,1,4,27000,2023,3,8
حي الزمرد,0,0,1,3,16,250,4,1,4,27000,2023,3,9
حي مريخ,0,0,0,0,18,110,2,1,3,27000,2023,3,6
حي الرياض,0,0,0,0,5,250,4,1,6,28000,2023,3,11
حي الزهراء,0,0,1,6,12,60,2,0,2,28000,2023,3,4
حي طيبة,0,1,0,8,25,260,2,1,4,28000,2023,3,7
حي ابرق الرغامة,0,0,1,0,5,180,3,1,4,28000,2023,3,8
حي الصفا,0,0,0,0,5,110,2,1,3,28000,2023,3,6
حي الصفا,0,0,1,0,15,100,2,1,3,28000,2023,3,6
حي الياقوت,0,0,1,0,16,150,3,1,3,28000,2023,3,7
حي الكوثر,0,0,1,0,16,180,3,1,4,28000,2023,3,8
حي الربوة,0,0,1,25,5,150,3,1,4,28000,2023,3,8
حي الصفا,0,0,1,5,15,90,1,1,2,28000,2023,3,4
حي المروة,0,0,1,8,15,135,2,1,4,28000,2023,3,7
حي الزمرد,0,0,1,3,16,200,3,2,4,28000,2023,3,9
حي الكوثر,0,0,1,3,16,200,3,1,5,28000,2023,3,9
حي المروة,0,1,1,7,15,110,2,1,3,28000,2023,3,6
حي الريان,0,0,1,0,5,190,3,1,5,28000,2023,3,9
حي المنتزه,0,0,1,1,5,123,3,1,4,28000,2023,3,8
حي الفلاح,0,0,1,3,16,200,3,1,5,28000,2023,3,9
حي الكوثر,0,0,1,2,16,180,3,1,4,28000,2023,3,8
حي الفروسية,0,0,0,0,16,400,3,1,4,28000,2023,3,8
حي المنار,0,0,1,3,18,130,3,2,3,28000,2023,3,8
حي المنار,0,0,1,5,15,100,2,1,3,28000,2023,3,6
حي ابحر الشمالية,0,0,1,3,50,120,2,1,2,28000,2023,3,5
حي الصالحية,0,0,0,0,5,180,3,1,4,28000,2023,3,8
حي الواحة,0,0,0,20,10,123,2,1,3,28000,2023,3,6
حي الواحة,0,0,1,20,14,123,2,1,3,28000,2023,3,6
حي الصوارى,0,0,1,0,19,150,2,1,4,28000,2023,3,7
حي النزهة,0,0,1,11,18,300,2,1,4,28000,2023,3,7
حي النزهة,0,0,1,3,15,120,2,0,3,28000,2023,3,5
حي الاجاويد,0,0,1,7,5,150,3,1,4,28000,2023,3,8
حي ابرق الرغامة,0,0,0,1,16,170,2,1,4,28000,2023,3,7
حي الربوة,0,0,0,15,10,150,2,1,3,28000,2023,3,6
أخرى,0,0,1,0,20,180,2,1,3,28000,2023,3,6
حي المروة,0,0,0,5,15,110,2,1,3,28000,2023,3,6
حي مشرفة,0,0,1,10,19,100,3,1,5,28000,2023,3,9
حي المنار,0,0,1,1,21,130,3,1,4,28000,2023,3,8
حي النسيم,1,1,1,12,20,120,2,1,3,28000,2023,3,6
حي السلامة,0,0,1,6,15,110,2,1,3,28000,2023,3,6
حي الربوة,0,0,1,16,5,220,2,1,4,28000,2023,3,7
حي الفلاح,0,0,0,0,20,160,3,1,3,28000,2023,3,7
حي الربوة,0,0,1,5,16,130,2,1,3,28000,2023,3,6
حي الحمراء,0,1,1,1,15,40,1,1,1,29000,2023,3,3
حي مشرفة,0,1,1,2,12,85,2,1,2,29000,2023,3,5
حي الفلاح,0,1,1,8,5,152,3,1,4,29000,2023,3,8
حي الصفا,0,0,0,11,5,120,3,0,5,29990,2023,3,8
حي النزهة,0,0,0,10,15,300,2,1,4,30000,2023,3,7
حي الصفا,0,0,1,23,14,170,3,1,4,30000,2023,3,8
حي الامير فواز الجنوبي,0,0,1,4,15,200,3,1,4,30000,2023,3,8
حي الصوارى,0,0,1,0,16,150,3,1,3,30000,2023,3,7
حي الصفا,0,0,1,14,14,170,2,1,4,30000,2023,3,7
حي المنار,0,0,1,8,21,160,2,2,5,30000,2023,3,9
حي البوادي,1,1,1,10,29,110,2,1,3,30000,2023,3,6
حي الصفا,0,0,1,7,20,145,3,1,3,30000,2023,3,7
حي السليمانية,0,0,1,33,5,150,2,0,4,30000,2023,3,6
حي الروضة,0,0,1,6,15,90,2,1,3,30000,2023,3,6
حي الروضة,0,0,1,4,15,120,2,1,3,30000,2023,3,6
حي الرحاب,0,0,1,9,20,90,2,2,2,30000,2023,3,6
حي مريخ,0,0,1,2,5,203,4,1,6,30000,2023,3,11
حي مريخ,0,0,1,2,30,80,2,0,3,30000,2023,3,5
حي الربوة,0,0,1,10,5,135,3,1,5,30000,2023,3,9
حي الياقوت,0,0,1,0,16,150,3,1,4,30000,2023,3,8
حي الصالحية,0,0,1,0,16,200,4,1,5,30000,2023,3,10
حي الصفا,0,0,1,10,19,200,2,1,4,30000,2023,3,7
حي المنار,0,0,0,4,17,90,2,1,3,30000,2023,3,6
حي الفردوس,0,0,1,2,32,150,3,1,3,30000,2023,3,7
حي السلامة,0,0,0,14,10,93,2,1,3,30000,2023,3,6
حي الروضة,0,0,0,27,12,170,2,1,2,30000,2023,3,5
حي المروة,0,0,1,9,16,140,2,1,4,30000,2023,3,7
حي السامر,0,0,1,10,16,240,4,1,5,30000,2023,3,10
حي الشراع,0,0,1,1,16,180,3,2,3,30000,2023,3,8
أخرى,0,0,1,8,4,23,2,1,3,30000,2023,3,6
حي المروة,0,1,1,10,20,90,3,1,3,30000,2023,3,7
حي الواحة,0,1,1,6,27,110,3,1,4,30000,2023,3,8
حي الريان,0,0,0,0,16,200,2,1,4,30000,2023,3,7
حي ابحر الجنوبية,0,0,1,1,20,115,3,1,4,30000,2023,3,8
حي الصالحية,0,0,0,0,5,200,3,2,3,30000,2023,3,8
حي الصالحية,0,1,1,5,15,140,2,1,4,30000,2023,3,7
حي الفردوس,0,0,1,0,25,150,2,1,3,30000,2023,3,6
حي الواحة,1,1,1,2,15,200,2,1,4,30000,2023,3,7
حي الصوارى,0,0,1,1,15,190,3,1,4,30000,2023,3,8
حي الياقوت,0,1,1,3,15,150,3,1,4,30000,2023,3,8
حي الصوارى,0,0,1,0,5,180,3,1,5,30000,2023,3,9
حي الياقوت,0,0,0,6,15,190,2,1,4,30000,2023,3,7
حي الفلاح,0,0,1,10,16,150,5,0,5,30000,2023,3,10
حي الصفا,0,0,1,15,15,180,3,1,4,30000,2023,3,8
حي الشراع,0,0,1,0,5,200,3,1,3,30000,2023,3,7
حي الرحمانية,0,0,1,2,5,300,4,1,5,30000,2023,3,10
حي الرحمانية,0,0,1,0,20,200,3,1,5,30000,2023,3,9
حي الحمدانية,0,0,0,5,16,180,2,1,3,30000,2023,3,6
حي الياقوت,0,0,0,6,5,200,4,2,5,30000,2023,3,11
حي البوادي,0,1,1,1,10,90,2,1,2,30000,2023,3,5
حي الشراع,0,0,1,2,5,180,3,1,4,30000,2023,3,8
حي مشرفة,0,0,1,22,5,150,2,1,4,30000,2023,3,7
حي المروة,0,1,1,7,5,140,3,1,4,30000,2023,3,8
حي الفلاح,0,0,1,2,16,200,3,1,5,30000,2023,3,9
حي الحمدانية,0,0,1,2,16,200,3,1,5,30000,2023,3,9
حي الفروسية,0,0,0,0,5,200,2,1,5,30000,2023,3,8
حي مريخ,0,0,0,8,15,180,3,1,5,30000,2023,3,9
حي ابرق الرغامة,0,0,1,2,31,380,3,1,5,30000,2023,3,9
حي الريان,0,0,0,8,16,200,3,1,5,30000,2023,3,9
حي الاميرعبدالمجيد,0,1,1,10,5,220,3,1,5,30000,2023,3,9
حي الياقوت,0,0,0,0,5,170,3,1,5,30000,2023,3,9
حي السلامة,0,0,1,8,15,100,2,1,3,30000,2023,3,6
حي الصفا,1,0,1,26,12,64,1,1,2,30000,2023,3,4
حي ابحر الشمالية,0,0,1,8,5,200,3,1,4,30000,2023,3,8
حي الزهراء,0,0,1,0,5,160,2,1,3,30000,2023,3,6
حي النعيم,0,0,1,20,32,180,2,1,2,30000,2023,3,5
حي السلامة,0,0,1,5,30,150,2,1,3,30000,2023,3,6
حي السامر,0,0,1,21,30,250,2,1,4,30000,2023,3,7
حي الرياض,0,0,0,1,5,230,3,1,5,30000,2023,3,9
حي الفروسية,0,0,1,0,5,250,3,1,4,30000,2023,3,8
حي الروضة,0,0,1,20,5,120,2,1,4,30000,2023,3,7
حي البغدادية الغربية,0,0,0,5,15,180,2,1,3,30000,2023,3,6
حي الصفا,0,0,1,25,14,150,1,1,5,30000,2023,3,7
حي الفلاح,0,0,1,2,10,312,3,1,5,30000,2023,3,9
حي النخيل,0,0,1,8,18,140,2,1,4,30000,2023,3,7
حي الورود,0,0,0,6,16,120,2,1,3,30000,2023,3,6
حي المنتزه,0,0,1,10,16,230,3,2,5,30000,2023,3,10
حي الريان,0,0,1,4,40,200,3,1,4,30000,2023,3,8
حي الاجاويد,0,0,1,7,5,200,3,3,5,30000,2023,3,11
حي الكوثر,0,1,0,5,16,200,2,1,4,30000,2023,3,7
حي مشرفة,0,0,0,15,5,130,2,1,4,30000,2023,3,7
حي طيبة,0,0,1,0,15,220,2,1,4,30000,2023,3,7
حي المروة,0,0,1,4,20,110,3,1,4,30000,2023,3,8
حي الفلاح,0,0,1,0,15,200,3,1,5,30000,2023,3,9
حي مريخ,0,0,1,1,5,130,3,1,4,30000,2023,3,8
حي مشرفة,0,0,1,0,16,150,2,1,3,30000,2023,3,6
حي السامر,0,0,1,0,29,178,2,1,4,30000,2023,3,7
حي النسيم,0,0,1,1,40,182,2,1,2,30000,2023,3,5
حي الحمدانية,0,1,1,3,16,247,3,3,5,30000,2023,3,11
حي مريخ,0,0,1,0,5,118,2,1,4,30000,2023,3,7
حي المروة,0,0,1,4,20,110,3,1,5,30000,2023,3,9
حي الفلاح,0,1,1,1,20,200,2,1,4,30000,2023,3,7
حي السلامة,0,0,1,20,30,280,2,1,4,30000,2023,3,7
حي السنابل,0,0,1,6,16,120,2,1,4,30000,2023,3,7
حي اللؤلؤ,0,1,1,0,25,250,3,2,3,30000,2023,3,8
حي الامير فواز الجنوبي,0,0,0,1,16,150,1,1,3,30000,2023,3,5
حي السلامة,0,1,1,0,1,160,2,1,2,30000,2023,3,5
حي ابرق الرغامة,0,0,1,0,15,143,3,1,4,30000,2023,3,8
حي الاميرعبدالمجيد,0,0,1,30,5,285,3,1,5,30000,2023,3,9
حي الحمدانية,0,0,1,3,17,200,3,1,5,30000,2023,3,9
حي الصوارى,0,0,0,5,5,200,3,1,5,30000,2023,3,9
حي الياقوت,0,0,1,0,5,60,2,1,3,30000,2023,3,6
حي ابحر الجنوبية,0,0,1,4,5,100,3,1,4,30000,2023,3,8
حي طيبة,0,0,1,3,16,190,3,1,5,30000,2023,3,9
حي الريان,1,1,1,0,5,150,3,2,3,30000,2023,3,8
حي الحمدانية,0,0,0,0,40,196,5,1,5,30000,2023,3,11
حي المروة,0,0,1,0,5,102,3,1,3,30000,2023,3,7
حي الريان,0,0,1,0,5,90,3,1,4,30000,2023,3,8
حي مريخ,0,1,1,7,15,187,3,1,5,30000,2023,3,9
حي السامر,0,0,0,7,19,150,3,1,5,30600,2023,3,9
حي الصوارى,0,0,0,0,36,110,1,1,2,31000,2023,3,4
حي الزهراء,0,0,1,9,16,100,2,1,3,31200,2023,3,6
حي السامر,0,0,1,4,15,165,3,1,4,31500,2023,3,8
حي الشراع,0,0,1,1,15,180,3,2,3,32000,2023,3,8
حي الشراع,0,0,1,1,5,180,3,2,3,32000,2023,3,8
حي مريخ,0,0,1,0,20,230,4,1,5,32000,2023,3,10
حي الريان,0,0,1,3,10,200,3,1,5,32000,2023,3,9
حي الصالحية,0,0,1,0,15,300,3,1,4,32000,2023,3,8
حي المروة,0,0,1,4,5,160,3,1,4,32000,2023,3,8
حي الواحة,0,1,1,6,5,155,2,2,4,32000,2023,3,8
حي السلامة,0,0,1,10,20,300,3,1,5,32000,2023,3,9
حي السلامة,0,0,1,5,11,80,2,1,2,32000,2023,3,5
حي السلامة,0,0,1,10,20,120,3,1,4,32000,2023,3,8
حي البشائر,0,0,1,5,5,205,3,1,5,32000,2023,3,9
حي المروة,0,0,1,9,20,130,3,1,4,32000,2023,3,8
حي الورود,0,1,1,8,21,100,2,1,3,32000,2023,3,6
حي السلامة,0,0,0,7,5,144,3,1,3,32000,2023,3,7
حي السلامة,0,0,1,7,16,144,3,1,3,32000,2023,3,7
حي مريخ,0,0,0,0,25,160,4,1,4,32000,2023,3,9
حي المنار,0,1,1,0,16,206,4,1,4,32000,2023,3,9
حي المروة,1,0,1,10,15,124,2,1,3,32000,2023,3,6
حي الفيصلية,0,0,0,15,5,150,3,1,5,32000,2023,3,9
حي المروة,0,0,1,7,14,50,3,1,5,32000,2023,3,9
حي الرياض,0,0,1,1,25,256,4,1,6,32000,2023,3,11
أخرى,0,0,0,15,5,209,3,1,6,32000,2023,3,10
حي الصفا,0,0,1,2,20,117,2,1,3,32000,2023,3,6
حي الاصالة,0,0,1,3,30,220,3,1,4,32000,2023,3,8
حي الياقوت,0,0,1,0,15,120,3,0,4,32000,2023,3,7
حي ابحر الجنوبية,0,1,1,6,16,80,3,1,4,32000,2023,3,8
حي الحمدانية,0,0,1,10,16,200,3,1,5,32000,2023,3,9
حي الصفا,0,0,0,5,5,100,3,1,4,32000,2023,3,8
حي الصفا,0,0,0,26,30,270,3,1,5,32000,2023,3,9
حي السلامة,0,0,1,6,15,125,2,1,3,32000,2023,3,6
حي الروضة,0,0,1,3,20,100,2,1,2,32000,2023,3,5
حي النسيم,0,0,1,14,19,200,3,1,4,32000,2023,3,8
حي السلامة,0,1,0,10,5,100,2,1,2,32000,2023,3,5
حي الحمدانية,0,0,0,10,25,300,3,1,5,32000,2023,3,9
حي ابرق الرغامة,0,1,1,0,20,120,2,1,4,32000,2023,3,7
حي السلامة,0,0,0,12,15,170,4,1,4,32000,2023,3,9
حي الروضة,0,0,1,8,16,180,2,1,4,32400,2023,3,7
حي الفلاح,1,1,1,3,15,100,2,1,4,32400,2023,3,7
حي الواحة,0,1,1,4,10,150,2,1,3,33000,2023,3,6
حي الروضة,0,0,1,5,12,110,2,1,3,33000,2023,3,6
حي الرياض,1,0,1,0,5,300,3,1,5,33000,2023,3,9
حي المنار,0,0,0,0,16,20,4,1,5,33000,2023,3,10
حي طيبة,1,1,1,1,15,195,3,1,4,33000,2023,3,8
حي الصفا,0,0,0,23,5,160,3,1,5,33000,2023,3,9
حي الحمدانية,0,0,0,0,5,150,5,1,4,33000,2023,3,10
حي الكوثر,0,0,1,1,20,25,3,1,5,33000,2023,3,9
حي الفيصلية,0,0,0,8,15,150,3,1,3,33000,2023,3,7
حي الزمرد,0,0,1,2,24,225,4,1,5,33000,2023,3,10
حي طيبة,0,0,1,0,16,350,3,1,5,33000,2023,3,9
حي النزهة,0,0,0,15,25,100,2,1,5,33000,2023,3,8
حي بني مالك,0,0,1,15,5,151,3,1,5,33000,2023,3,9
حي البوادي,0,0,1,20,25,130,3,1,4,33000,2023,3,8
حي ابحر الشمالية,0,0,1,2,31,140,2,1,3,33500,2023,3,6
حي المنار,0,0,1,6,15,165,3,1,5,34000,2023,3,9
حي السامر,0,0,1,7,19,140,2,1,4,34000,2023,3,7
حي المروة,0,0,1,16,15,190,4,1,5,34000,2023,3,10
حي المروة,0,0,1,8,10,140,3,1,4,34000,2023,3,8
حي المروة,1,0,1,10,20,180,3,1,4,34000,2023,3,8
حي الريان,0,0,0,3,5,179,4,1,6,34000,2023,3,11
حي السلامة,0,0,1,7,22,200,3,1,4,34000,2023,3,8
حي الصالحية,0,1,1,0,25,240,3,1,5,35000,2023,3,9
حي الرياض,0,0,0,0,5,200,3,1,4,35000,2023,3,8
حي المروة,0,0,1,6,15,60,3,1,5,35000,2023,3,9
حي الزهراء,0,0,1,3,5,100,2,1,3,35000,2023,3,6
حي الحمدانية,0,0,1,0,5,243,4,1,5,35000,2023,3,10
حي الفضيلة,0,0,0,0,15,200,4,1,4,35000,2023,3,9
حي المنار,0,0,0,8,5,200,3,1,5,35000,2023,3,9
حي طيبة,0,0,1,0,5,100,3,1,4,35000,2023,3,8
حي المروة,0,0,0,10,20,180,2,1,4,35000,2023,3,7
حي الفلاح,0,0,1,20,20,200,2,1,4,35000,2023,3,7
